ALICBOGO,26900.00,65239800.00,99.9587675
ALTOANCH,1138800.00,14692700.00,92.2492122
AMOYAMOY,735800.00,6045200.00,87.8283597
BAJOANCH,108500.00,1134800.00,90.4388438
BETAMAG1,218400.00,7069700.00,96.9107600
BOCATENC,130200.00,10983600.00,98.8145963
CAL1CALM,4900.00,1650300.00,99.7030843
CAMECAMP,355200.00,6137800.00,94.2129102
CAMECHIN,939400.00,5491600.00,82.8938743
CLLRPORC,1085900.00,25508400.00,95.7429709
CUCUCUCU,172700.00,3303100.00,94.7715782
DESVBATA,146300.00,8153600.00,98.2057005
DESVCHIV,201600.00,6795900.00,97.0335055
DESVGUAR,500.00,2122500.00,99.9764429
DESVIEPM,261900.00,4102200.00,93.6156209
DESVMANS,500.00,513800.00,99.9026859
DESVSMAR,50000.00,598100.00,91.6401939
EMBACHUZ,3800.00,22580100.00,99.9831710
EMBAPRAD,1100.00,5699500.00,99.9807001
ESCMNEGR,3922300.00,28744800.00,86.3547494
ESMEBATA,1032200.00,217662600.00,99.5257798
ESMECAMP,397100.00,6862500.00,94.2134791
ESTRELLA,42700.00,1866100.00,97.7118054
FLR2CAUC,42400.00,439000.00,90.3416856
GUAVGUAV,1584200.00,88338600.00,98.2066730
ITUACAUC,4475400.00,97578500.00,95.4135388
MIRFTENC,19000.00,5211300.00,99.6354077
PENONARE,1928700.00,16096800.00,88.0181154
PLAYGUAT,909400.00,26584800.00,96.5792483
PP-2POR1,530300.00,15300100.00,96.5340096
PP-3PORC,69400.00,4772900.00,98.5459574
PTEHMIEL,986800.00,14533700.00,93.2102630
PUNCGUAT,1719300.00,20078100.00,91.4369388
QUBRRGRD,16900.00,328700.00,94.8585336
QUIMMAGD,2440100.00,43267100.00,94.3603801
RGR2RGRD,2199900.00,42937300.00,94.8764827
SALVCAUC,1295400.00,17111100.00,92.4294756
SANFRANC,72900.00,12609000.00,99.4218415
SLORNARE,2137800.00,40150400.00,94.6755200
SMIGCALD,673900.00,3909800.00,82.7638242
SOGASOGA,1886900.00,63621400.00,97.0341740
TRONGUAD,1441200.00,25956600.00,94.4476549
URR1SINU,639700.00,14302900.00,95.5274804
